trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
141,False,"{'a': 0.5, 'e': 0.24659696394160643}",30,23,11.107814594941674,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,15,8.429448554410907,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.24171401689703645}",30,18,8.44952589311019,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.23930892224375455}",30,18,20.89398834949768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,7,4.5281595520670646,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.23457028809379765}",25,11,-32.01784802212796,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
147,False,"{'a': 0.5, 'e': 0.23223627472975883}",25,0,-26.876977739046495,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.22992548518672384}",25,16,1.5597929149785945,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22763768838381274}",20,16,7.469697281543908,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22537265553943872}",20,12,6.428452985011955,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,6,21.00881059110433,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.2209099779593782}",25,20,7.877039655778715,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21871188695221475}",30,15,-7.507634228654659,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21653566731600707}",25,12,-31.617371477675988,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
155,False,"{'a': 0.5, 'e': 0.21438110142697794}",20,0,-41.357696642807234,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
